Gammaproteobacteria,0.04415611593596317,0.09294976571864444,0.0821898562262914,0.07114690829767598,0.10484089553856996,0.08131281585372778
Beggiatoa,0.0979910013602595,0.016399694889397406,0.02926989181847984,0.005453477640741673,0.0034151894617010896,0.005110442337175629
Deltaproteobacteria,0.0335617871717066,0.021630162362427808,0.027443450569006697,0.03070727410017619,0.01154659294194178,0.023905513599454885
Desulfobacterium,0.033823375536256146,0.016672115070284408,0.01784292605254531,0.023324104371172077,0.011112918089662275,0.019362898188632106
Nitrosopumilus,0.0035314429214188554,0.01885147651738041,0.01264459326558329,0.009984059065357832,0.05420935653493793,0.010675146215433536
Bacteroides,0.019880715705765408,0.015255530129672006,0.014143211726689458,0.01602483429817938,0.0094324280370792,0.016296632786326728
Desulfatibacillum,0.02186878727634195,0.013675493080527406,0.013862220765232051,0.017451128450373353,0.006179866644982924,0.01357106353983306
Planctomyces,0.011483729203725018,0.014438269587011006,0.012925584227040697,0.017199429482339122,0.013823385916409173,0.012435409687127363
Geobacter,0.0154598723448781,0.013021684646398605,0.013955884419051188,0.015605336018122326,0.009107171897869573,0.01311680199875078
Desulfococcus,0.022025740295071674,0.012204424103737605,0.010958647496838851,0.014682439801996811,0.005746191792703421,0.0119243654534098
Sulfurovum,0.012268494297373653,0.009044350005448403,0.014424202688146865,0.020555415722795536,0.0033067707486312136,0.016296632786326728
Maribacter,0.008187715810400753,0.011986487959028005,0.011473797592844098,0.009732360097323601,0.013227082994524854,0.0145363693146329
Bacteria,0.010803599455896202,0.010297482837528604,0.011661124900482368,0.011326453561540398,0.009378218680544262,0.010731928908068821
Thioalkalivibrio,0.008004603955216072,0.011496131633431404,0.010490329227743175,0.011326453561540398,0.0094324280370792,0.01334393276929192
Shewanella,0.008396986502040389,0.012367876212269806,0.010724488362291012,0.010235758033392063,0.010028730958963518,0.011867582760774516
Desulfovibrio,0.015538348854242963,0.009534706331045004,0.009413197208823117,0.011662052185586039,0.006071447931913048,0.00988018851853955
Flavobacteriales,0.005597991001360259,0.010134030728996404,0.010209338266285768,0.007718768353049753,0.013769176559874235,0.012719323150303788
Pseudomonas,0.007376791880297165,0.010678871090770405,0.011005479323748419,0.008138266633106805,0.011817639724616469,0.009936971211174834
Rhodopirellula,0.006644344459558439,0.009098834041625804,0.009179038074275277,0.015689235674133738,0.008348240906380441,0.00988018851853955
Nitrosococcus,0.007638380244846709,0.011005775307834805,0.010115674612466633,0.00948066112928937,0.007264053775681682,0.009198796206916132
Desulfuromonas,0.008763210212409752,0.007845701209545603,0.007633587786259542,0.008054366977095394,0.005637773079633545,0.011413321219692237
Vibrio,0.006382756095008894,0.007464312956303803,0.0071184376902542965,0.008473865257152446,0.007264053775681682,0.007949576968939867
Burkholderia,0.006435073767918803,0.008009153318077803,0.007633587786259542,0.007383169729004111,0.007643519271426248,0.0065867923456930325
Syntrophobacter,0.007664539081301664,0.007028440666884603,0.006275464805882078,0.00948066112928937,0.0037404456009107172,0.007552098120492874
Allochromatium,0.006173485403369258,0.006102212051868803,0.006977942209525594,0.007550969041026932,0.005583563723098607,0.008176707739481006
Anaerolinea,0.008946322067594433,0.006211180124223602,0.00810190605535522,0.008222166289118215,0.0034151894617010896,0.005394355800352053
Clostridium,0.010254263890342157,0.005284951509207802,0.006556455767339484,0.007886567665072574,0.004336748522795034,0.005735051956163762
unclassified sequences,0.007219838861567437,0.007028440666884603,0.006790614901887323,0.007467069385015522,0.004878842088144414,0.0059621827267049
Marivirga,0.005100973108716125,0.006756020485997603,0.006181801152062942,0.004614481080627569,0.008022984767170813,0.007949576968939867
Polaribacter,0.004028460814062991,0.0059932439795140026,0.0068374467287968905,0.006460273512878597,0.006938797636472055,0.00823349043211629
Endoriftia,0.005624149837815214,0.007573281028658603,0.005432491921509858,0.006544173168890007,0.005746191792703421,0.007324967349951735
Microscilla,0.005100973108716125,0.005502887653917403,0.006228632978972509,0.006628072824901418,0.0062882853580528,0.008176707739481006
Algoriphagus,0.004734749398346762,0.006756020485997603,0.005900810190605536,0.005705176608775904,0.006071447931913048,0.008630969280563285
Haliangium,0.004420843360887308,0.005829791870981802,0.007071605863344729,0.005285678328718852,0.009486637393614137,0.0052240077224461985
Lentisphaera,0.004603955216071989,0.005666339762449602,0.005853978363695968,0.008054366977095394,0.007047216349541931,0.005905400034069616
Desulfotalea,0.006173485403369258,0.005884275907159202,0.005151500960052451,0.00939676147327796,0.0037404456009107172,0.006530009653057748
Marinobacter,0.004970178926441352,0.007137408739239403,0.006509623940429916,0.005117879016696031,0.006667750853797365,0.0056782692635284765
Bacillus,0.005938055875274668,0.006211180124223602,0.005479323748419426,0.006544173168890007,0.003957283027050469,0.005110442337175629
Desulfobulbus,0.006042691221094486,0.005230467473030402,0.0057603147098768325,0.007634868697038342,0.002331002331002331,0.005905400034069616
Verrucomicrobiales,0.004290049178612535,0.005557371690094802,0.0049641736524141805,0.004194982800570518,0.006776169566867241,0.006246096189881324
Coraliomargarita,0.004211572669247672,0.005339435545385202,0.004589519037137639,0.005369577984730263,0.0065051227841925515,0.005110442337175629
Solibacter,0.004708590561891807,0.004576659038901602,0.006275464805882078,0.0044466817686047485,0.005095679514284165,0.005167225029810913
Plesiocystis,0.002537407136130585,0.004576659038901602,0.003793377979674987,0.0044466817686047485,0.010299777741638207,0.004088353869740503
Sorangium,0.004185413832792717,0.005557371690094802,0.00477684634477591,0.0055373772967530835,0.005095679514284165,0.004088353869740503
